algorithm,configuration,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
knn,"{""k"": 1}",train,um_road,97.50910950844352,89.90499638789295,97.21504211425781,97.80496215820312,0.5659441351890564,2.195037603378296
knn,"{""k"": 1}",train,umm_road,98.38984431472151,91.53393505881267,98.32876586914062,98.45100402832031,0.5164766907691956,1.5489983558654785
knn,"{""k"": 1}",train,uu_road,97.70778855150459,89.77752884108277,97.38644409179688,98.03125762939453,0.4172344207763672,1.9687401056289673
knn,"{""k"": 1}",valid,um_road,85.06611577365722,69.8367942612932,81.82853698730469,88.57044219970703,3.711327075958252,11.429553985595703
knn,"{""k"": 1}",valid,umm_road,84.64651975436118,74.74419909617266,93.70352172851562,77.18602752685547,1.6546084880828857,22.813968658447266
knn,"{""k"": 1}",valid,uu_road,75.63532578712244,56.108627013391356,65.86930847167969,88.80133056640625,6.385010719299316,11.19866943359375
knn,"{""k"": 3}",train,um_road,93.031937268419,90.3361151297236,91.9454574584961,94.14440155029297,1.6658365726470947,5.855599880218506
knn,"{""k"": 3}",train,umm_road,94.19632773926516,91.77728422552772,89.67192077636719,99.20155334472656,3.5265867710113525,0.798448383808136
knn,"{""k"": 3}",train,uu_road,89.6248275519705,89.3101687095803,85.2209243774414,94.50868225097656,2.5992915630340576,5.491317272186279
knn,"{""k"": 3}",valid,um_road,87.54702262299672,84.01796204167307,84.01446533203125,91.38969421386719,3.2811458110809326,8.610311508178711
knn,"{""k"": 3}",valid,umm_road,90.56350685607542,89.23946457460322,89.6980209350586,91.44585418701172,3.3505537509918213,8.554143905639648
knn,"{""k"": 3}",valid,uu_road,79.93551946986392,73.05024716938561,81.80198669433594,78.15232849121094,2.4125823974609375,21.847673416137695
knn,"{""k"": 5}",train,um_road,92.2529684029523,90.3062490917759,90.96574401855469,93.5771484375,1.8772045373916626,6.422854423522949
knn,"{""k"": 5}",train,umm_road,94.13205183781871,91.42454878601654,92.25775909423828,96.08407592773438,2.4887895584106445,3.9159224033355713
knn,"{""k"": 5}",train,uu_road,89.32275747227666,88.67308043116249,91.16422271728516,87.55421447753906,1.3457977771759033,12.445786476135254
knn,"{""k"": 5}",valid,um_road,88.4647894124442,86.68547299233832,84.97174835205078,92.25732421875,3.07886004447937,7.742672443389893
knn,"{""k"": 5}",valid,umm_road,91.12617207246167,89.91326533519613,87.47270965576172,95.09812927246094,4.3448166847229,4.901871681213379
knn,"{""k"": 5}",valid,uu_road,81.96896952728993,78.42366885238619,78.22672271728516,86.0872573852539,3.324969530105591,13.91274642944336
knn,"{""k"": 7}",train,um_road,91.8578717922291,90.39819062030813,90.40374755859375,93.35954284667969,2.0017104148864746,6.64046049118042
knn,"{""k"": 7}",train,umm_road,93.70739487521703,91.71227991233576,93.20369720458984,94.21656799316406,2.1205074787139893,5.783434867858887
knn,"{""k"": 7}",train,uu_road,88.52945422649707,88.45748313969683,87.78617095947266,89.28543090820312,1.9701027870178223,10.714564323425293
knn,"{""k"": 7}",valid,um_road,88.91963057696705,87.57802220227305,85.51100158691406,92.61129760742188,2.9609804153442383,7.388707160949707
knn,"{""k"": 7}",valid,umm_road,91.55500383845234,90.55596966530918,90.69034576416016,92.43630981445312,3.0271213054656982,7.563692092895508
knn,"{""k"": 7}",valid,uu_road,82.62990106323434,80.35517337815013,83.31775665283203,81.95330810546875,2.2770025730133057,18.046688079833984
knn,"{""k"": 9}",train,um_road,91.63069807394902,90.39881386402972,89.95883178710938,93.36587524414062,2.1050174236297607,6.634120464324951
knn,"{""k"": 9}",train,umm_road,93.59851129708451,91.7422957005993,91.11997985839844,96.21565246582031,2.8941380977630615,3.784349203109741
knn,"{""k"": 9}",train,uu_road,87.90759009763164,88.76235528338952,85.67787170410156,90.2564697265625,2.392763614654541,9.743531227111816
knn,"{""k"": 9}",valid,um_road,89.41944228700166,88.26486424072449,89.220458984375,89.61931610107422,2.043114423751831,10.380683898925781
knn,"{""k"": 9}",valid,umm_road,91.83680539979545,90.82038708721942,89.28742980957031,94.5360336303711,3.6183905601501465,5.463960647583008
knn,"{""k"": 9}",valid,uu_road,83.22837643389006,82.29823623277342,80.86483764648438,85.73424530029297,2.8151843547821045,14.26576042175293
knn,"{""k"": 11}",train,um_road,91.42008204905228,90.71947525268286,89.67884063720703,93.23027801513672,2.1673190593719482,6.76971960067749
knn,"{""k"": 11}",train,umm_road,93.4187129369837,91.77583509099371,91.97151184082031,94.91218566894531,2.557264566421509,5.08781099319458
knn,"{""k"": 11}",train,uu_road,87.79178397646817,88.93056491309778,88.3838119506836,87.20763397216797,1.8177235126495361,12.792365074157715
knn,"{""k"": 11}",valid,um_road,89.73226013325227,88.90481534112723,88.87512969970703,90.60608673095703,2.1400668621063232,9.393914222717285
knn,"{""k"": 11}",valid,umm_road,91.91068050933147,90.87113883945614,90.8372573852539,93.00977325439453,2.9929864406585693,6.990225791931152
knn,"{""k"": 11}",valid,uu_road,83.73029280034183,83.72324652109742,84.11504364013672,83.34904479980469,2.1842024326324463,16.650959014892578
knn,"{""k"": 15}",train,um_road,91.24019828540433,90.70560972788894,91.55078887939453,90.93170928955078,1.6951051950454712,9.068292617797852
knn,"{""k"": 15}",train,umm_road,93.14830587657438,91.75043912737944,91.20252990722656,95.17891693115234,2.833772897720337,4.821077346801758
knn,"{""k"": 15}",train,uu_road,87.36372631919279,88.47668942603659,85.8148193359375,88.96957397460938,2.332364082336426,11.03042984008789
knn,"{""k"": 15}",valid,um_road,89.96441202036736,89.28631570208547,90.59585571289062,89.34171295166016,1.7499290704727173,10.658289909362793
knn,"{""k"": 15}",valid,umm_road,92.0229547193199,91.07830810931584,88.8351058959961,95.44811248779297,3.8269448280334473,4.551886081695557
knn,"{""k"": 15}",valid,uu_road,83.89255391984295,84.56347745581424,84.41825866699219,83.37335205078125,2.1354379653930664,16.626644134521484
knn,"{""k"": 21}",train,um_road,90.98236091396313,90.63089102765088,90.57325744628906,91.39517211914062,1.9213752746582031,8.60482406616211
knn,"{""k"": 21}",train,umm_road,92.94389829501942,91.73530687555768,91.2282485961914,94.72531127929688,2.811228036880493,5.274686813354492
knn,"{""k"": 21}",train,uu_road,87.18450604116431,88.87579509881604,87.89371490478516,86.48664855957031,1.889228105545044,13.513352394104004
knn,"{""k"": 21}",valid,um_road,90.1339726760018,89.84583783070535,88.0169448852539,92.3553466796875,2.3725662231445312,7.6446533203125
knn,"{""k"": 21}",valid,umm_road,92.28023108979268,91.25619226629816,90.1781234741211,94.48267364501953,3.2829172611236572,5.517325401306152
knn,"{""k"": 21}",valid,uu_road,84.3789222123669,86.02132664421967,83.2943115234375,85.49214935302734,2.379333972930908,14.507847785949707
knn,"{""k"": 51}",train,um_road,90.42443300532243,90.73304153553653,90.95065307617188,89.90426635742188,1.806837558746338,10.095730781555176
knn,"{""k"": 51}",train,umm_road,92.23549403478142,91.64311990445408,90.25910949707031,94.30036926269531,3.1411898136138916,5.699629306793213
knn,"{""k"": 51}",train,uu_road,86.40895507269933,88.48874409178246,86.29768371582031,86.5205078125,2.178694248199463,13.479486465454102
knn,"{""k"": 51}",valid,um_road,90.40083587155979,90.36850008654618,89.37651062011719,91.44890594482422,2.051055908203125,8.551088333129883
knn,"{""k"": 51}",valid,umm_road,92.52687106612656,91.40267734127309,90.076416015625,95.1143798828125,3.342862367630005,4.885618209838867
knn,"{""k"": 51}",valid,uu_road,85.10433302743068,87.24119118404624,83.28166198730469,87.00857543945312,2.423738956451416,12.991430282592773
knn,"{""k"": 99}",train,um_road,90.00824375178738,90.67659648648203,89.78211975097656,90.23551177978516,2.0743205547332764,9.764487266540527
knn,"{""k"": 99}",train,umm_road,91.58673562299279,91.52717879833212,89.37686920166016,93.90865325927734,3.4451327323913574,6.09135103225708
knn,"{""k"": 99}",train,uu_road,85.93325734496273,88.34819358802726,85.9622802734375,85.90424346923828,2.224771738052368,14.095751762390137
knn,"{""k"": 99}",valid,um_road,90.25756754754201,90.53091748825437,90.3769760131836,90.13847351074219,1.8110027313232422,9.861525535583496
knn,"{""k"": 99}",valid,umm_road,92.47043673921335,91.42848330921608,89.84463500976562,95.25434112548828,3.4348108768463135,4.745660305023193
knn,"{""k"": 99}",valid,uu_road,85.26376980856864,87.90423995341243,83.76590728759766,86.81617736816406,2.334756374359131,13.183821678161621
knn,"{""k"": 251}",train,um_road,89.46327718685299,90.50675865524643,89.00446319580078,89.92684173583984,2.243992328643799,10.07315444946289
knn,"{""k"": 251}",train,umm_road,90.80001539198965,91.27995266940381,89.84697723388672,91.77348327636719,3.2009732723236084,8.22651481628418
knn,"{""k"": 251}",train,uu_road,85.38860808312978,88.03733619053386,84.58712005615234,86.20542907714844,2.4911305904388428,13.794569969177246
knn,"{""k"": 251}",valid,um_road,89.89338702768582,90.5237637359892,88.35176086425781,91.48976135253906,2.2760019302368164,8.510235786437988
knn,"{""k"": 251}",valid,umm_road,92.27254440664791,91.39323895383723,89.27682495117188,95.47628784179688,3.658430576324463,4.523714065551758
knn,"{""k"": 251}",valid,uu_road,85.44783294730624,88.06721175751694,83.10379791259766,87.92794036865234,2.4807047843933105,12.072065353393555
